State,County,Violentcrime,Murder andnonnegligentmanslaughter,Rape(reviseddefinition)1,Rape(legacydefinition)2,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny-theft,Motorvehicletheft,Arson3,
CALIFORNIA - Metropolitan Counties,Yolo,74.0,0.0,,8.0,1.0,65.0,289.0,89.0,186.0,14.0,8.0,
CALIFORNIA - Metropolitan Counties,Yuba,205.0,1.0,,17.0,40.0,147.0,1298.0,425.0,861.0,12.0,14.0,
CALIFORNIA - Nonmetropolitan Counties,Alpine,4.0,0.0,,1.0,0.0,3.0,24.0,10.0,14.0,0.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Amador,55.0,1.0,,3.0,6.0,45.0,383.0,134.0,246.0,3.0,3.0,
CALIFORNIA - Nonmetropolitan Counties,Calaveras,106.0,0.0,,12.0,9.0,85.0,833.0,275.0,555.0,3.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Colusa,25.0,0.0,,1.0,0.0,24.0,163.0,59.0,104.0,0.0,2.0,
CALIFORNIA - Nonmetropolitan Counties,Del Norte,102.0,1.0,,23.0,9.0,69.0,350.0,207.0,142.0,1.0,4.0,
CALIFORNIA - Nonmetropolitan Counties,Glenn,81.0,0.0,,21.0,5.0,55.0,203.0,88.0,113.0,2.0,2.0,
CALIFORNIA - Nonmetropolitan Counties,Humboldt,202.0,6.0,,14.0,34.0,148.0,872.0,406.0,447.0,19.0,11.0,
CALIFORNIA - Nonmetropolitan Counties,Inyo,79.0,0.0,,11.0,3.0,65.0,156.0,61.0,94.0,1.0,2.0,
CALIFORNIA - Nonmetropolitan Counties,Lake,193.0,4.0,,21.0,9.0,159.0,665.0,307.0,352.0,6.0,13.0,
CALIFORNIA - Nonmetropolitan Counties,Lassen,33.0,1.0,,2.0,3.0,27.0,184.0,79.0,105.0,0.0,2.0,
CALIFORNIA - Nonmetropolitan Counties,Mariposa,71.0,0.0,,6.0,3.0,62.0,267.0,81.0,186.0,0.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Mendocino,310.0,5.0,,14.0,25.0,266.0,532.0,235.0,293.0,4.0,12.0,
