State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,
CALIFORNIA-Nonmetropolitan Counties,Plumas,138.0,3.0,13.0,3.0,119.0,290.0,139.0,145.0,6.0,0.0,,
CALIFORNIA-Nonmetropolitan Counties,Sierra,6.0,0.0,0.0,1.0,5.0,35.0,19.0,16.0,0.0,1.0,,
CALIFORNIA-Nonmetropolitan Counties,Siskiyou,47.0,1.0,6.0,3.0,37.0,219.0,88.0,129.0,2.0,4.0,,
CALIFORNIA-Nonmetropolitan Counties,Tehama,212.0,0.0,6.0,8.0,198.0,369.0,230.0,139.0,0.0,14.0,,
CALIFORNIA-Nonmetropolitan Counties,Trinity,22.0,0.0,1.0,2.0,19.0,66.0,37.0,29.0,0.0,0.0,,
CALIFORNIA-Nonmetropolitan Counties,Tuolumne,114.0,1.0,20.0,11.0,82.0,802.0,356.0,438.0,8.0,13.0,,
COLORADO-Metropolitan Counties,Adams,420.0,4.0,71.0,58.0,287.0,2718.0,685.0,1497.0,536.0,34.0,,
COLORADO-Metropolitan Counties,Arapahoe,202.0,2.0,22.0,30.0,148.0,1381.0,325.0,937.0,119.0,30.0,,
COLORADO-Metropolitan Counties,Boulder,46.0,1.0,11.0,2.0,32.0,659.0,199.0,420.0,40.0,17.0,,
COLORADO-Metropolitan Counties,Clear Creek,17.0,0.0,0.0,0.0,17.0,94.0,31.0,61.0,2.0,1.0,,
COLORADO-Metropolitan Counties,Douglas,233.0,1.0,73.0,18.0,141.0,2098.0,498.0,1520.0,80.0,22.0,,
COLORADO-Metropolitan Counties,El Paso,822.0,7.0,60.0,18.0,737.0,1802.0,638.0,963.0,201.0,38.0,,
COLORADO-Metropolitan Counties,Gilpin,9.0,0.0,1.0,0.0,8.0,39.0,7.0,32.0,0.0,0.0,,
COLORADO-Metropolitan Counties,Jefferson,250.0,0.0,38.0,17.0,195.0,2844.0,517.0,2148.0,179.0,39.0,,
COLORADO-Metropolitan Counties,Larimer,118.0,2.0,29.0,9.0,78.0,1067.0,279.0,706.0,82.0,13.0,,
COLORADO-Metropolitan Counties,Mesa,174.0,2.0,32.0,14.0,126.0,1394.0,386.0,895.0,113.0,10.0,,
COLORADO-Metropolitan Counties,Park,20.0,0.0,0.0,0.0,20.0,120.0,55.0,57.0,8.0,1.0,,
